,text,num_words,tag
0,"According to Nathaniel Rich, writer at large for The New York Times Magazine and author of Losing Earth: A Recent History, the book is An intimate account of one of the most appalling environmental crimes in modern history.",38,comp_sent
7,"A second plan had rail cars originating at Erie Canal Harbor Station and following the Main Line to Church Street, where rail cars would switch to a trackbed along the north side of South Division Street.",36,comp_sent
8,"During the race to the Tunisian coast, it fought at the Kasserine Pass and Foundouk, finally reaching Tunis in March 1943.",21,comp_sent
13,"On My Level, featuring Too Short, was released as the album's third single via digital download on February 22, 2011 was later sent to radio in North America on May 28, 2011.",32,comp_sent
14,"It is associated with a historical region of Podolia, yet in reality its territory is split almost in half, the northern in Volhynia, and the southern in Podolia.",28,comp_sent
15,"KPA also owns various sports teams, including Kenyan Premier League team Bandari FC and a leading basketball club.",18,comp_sent
16,"However, Alston was criticized for his treatment of the conflict between the competing claims made by different religions.",18,comp_sent
18,"Mukaichi was a child actress, represented by the talent agency Central G.",12,comp_sent
20,"Initially the project was scheduled to be completed by March 2004, but owning the additional work the date was shifted to April 2005.",23,comp_sent
21,"As of the 2012–13 school year, the school was 1% American Indian/Alaskan Native, 7% Asian, 4% Black, 1% Hawaiian Native/Pacific Islander, 32% Hispanic, 49% White, and 6% multiracial.",28,comp_sent
24,"But it was not until a friend introduced him to Earle Hagen's seminal book, Scoring for Film, that Conlan realized how he should apply his passion.",26,comp_sent
26,"An independence referendum was held in Lithuania on 9 February 1991, The independence of the Republic of Lithuania was re-recognized by the United States on 2 September 1991 and by the Soviet Union on 6 September 1991.",37,comp_sent
30,"The larvae feed on Fleurya capensis, Boehmeria nivea, Australina, Boehmeria, Pouzolzia, and Urtica species.",14,comp_sent
31,"As common meeting places, several parks in the greater Miami area reflect the influence of Cuban migration to the community and nod to Cuban culture.",25,comp_sent
32,"Following a season at Jong FC Twente, Tapia was promoted to the first team at Twente.",16,comp_sent
34,"The AMA purportedly released a statement saying that they had no involvement with the Hollister riot, and, the trouble was caused by the one per cent deviant that tarnishes the public image of both motorcycles and motorcyclists and that the other ninety-nine per cent of motorcyclists are good, decent, law-abiding citizens.",51,comp_sent
35,"Alberto Del Pra, owner of a shipyard on the brink of bankruptcy, is able to get the assignment to build a super yacht for a wealthy Arab emir, on condition that his wife Francesca would stay a night with him.",40,comp_sent
36,"In December 2017, he was made ambassador of the permanent mission of China to the United Nations Office at Geneva and Other International Organizations in Switzerland, but only held the position for a year and a half.",37,comp_sent
37,"In later years, Roe operated the West Point Hotel, after managing several steamboats.",13,comp_sent
38,"Those that remained were quickly subjugated, and the Dark Current settled into the world's oceans, cutting off each land from its neighbors and turning the sky black.",27,comp_sent
39,"Sunrider is a multi-level marketing company which is primarily known for selling herbal products such as diet pills, teas, and health snacks.",22,comp_sent
40,"Coleman and the other members of his 1950s quartet, trumpeter Don Cherry, bassist Charlie Haden, and drummer Billy Higgins, performed on one of the two records, while his electrified ensemble, Prime Time, performed on the other.",36,comp_sent
41,"Spivey's Corner is a census-designated place located in Sampson County, North Carolina, United States, at the intersection of U.",19,comp_sent
42,"Materials prepared by heating iron, acetic acid, and air, loosely described as basic iron acetates, are used as dyes and mordants.",21,comp_sent
43,"Chigrakov has performed on stage since the age of 14, playing the bass guitar in clubs in his home town Dzerzhinsk.",21,comp_sent
47,"Finally, it argues that the Japanese Army's culture of disobedience helped to push the country towards unbridled imperialism, entanglement in China and finally the Pacific War.",26,comp_sent
48,"The Ngāti Maniapoto Chief Tukorehu showed no mercy to the Pukerangiora people, the same people who had saved his life and his war party 10 years earlier, placing the heads of the Pā's Chiefs, Whatitiri and Pekapeka on poles in front of the wharenui that had housed him a decade before.",51,comp_sent
49,"In the UK, the album reached #13 on the albums chart in its debut week ending 2 July 1988.",19,comp_sent
51,"In the 2009 parliamentary election, the party won two seats as part of the March 8 Alliance.",17,comp_sent
53,"Known briefly as the Aero Commander 200, it soon emerged that the firm could not produce the design economically.",19,comp_sent
55,"Since both were found in possession of Ko's vehicle, an immediate link was distinguished between the couple and her murder.",20,comp_sent
56,"He appeared also at the San Francisco Silent Film Festival in 2004, where he spoke after screenings of his father's film The Circus to promote film historian Jeffrey Vance's Chaplin books.",31,comp_sent
60,"The nearest settlement to the town of Myinmu is Paledan, a river village to the east.",16,comp_sent
63,"Since 1 January 2010, it is part of the town Seehausen.",11,comp_sent
64,"It could carry 6,000 long tons of coal.",8,comp_sent
66,"The Lambert Puppet Theatre & Museum was a puppet theatre located in Monkstown, County Dublin, Ireland.",16,comp_sent
68,"Along with Jackie Chan and other cast members of Kung Fu Yoga, Miya appeared on The Kapil Sharma Show to promote the movie.",23,comp_sent
69,"Although the city experiences little snow due to its low elevation, frosts are common during the colder winter months.",19,comp_sent
72,"The Federation also aims to develop national basketball in Armenia by negotiating with other clubs, trying to sign Armenian players which seek to play abroad, and abling teams to qualify for various European competitions in further seasons.",37,comp_sent
76,"This is an obscure date but it shouldn't be, as it features some of Hope and Gilmore's finest playing, and shows Jones in rare, lighthearted form.",26,comp_sent
78,"Each year the Sneukeltoer bike race is organised in De Pinte, which has an attendance of about 2300 cyclists.",19,comp_sent
80,"On 29 May 2014, Gallagher posted a photo on his official Facebook page confirming he has started work on his second album and follow-up.",24,comp_sent
81,"Broom's first book The Yellow House, was published by Grove Press on August 13, 2019, In advance of its publication, Broom's debut memoir, The Yellow House, received positive attention from a number of outlets.",34,comp_sent
83,"Gaizhou to the north-northwest, and is located at the northwest end of the Liaodong Peninsula near the northeast coast of the Bohai Sea.",23,comp_sent
84,"Named after Janus, the Roman God of passages, JanusVR portrays web content in multi-dimensional spaces interconnected by portals.",18,comp_sent
85,"In 1997 the company shifted from its summer-only festival model and began year-round programming with the foundation of two additional performance initiatives, The American Composers Series and The Emerald City Jazz Kings.",32,comp_sent
87,"Rabi and others, led to development of an important sub-branch of atomic physics, that of radio-frequency spectroscopy.",17,comp_sent
88,"Galfond finished in 18th place at the 2006 World Series of Poker Circuit event in Grand Casino Tunica, earning $22,895.",20,comp_sent
89,"While Haystack initially used content from YouTube to populate its news playlists, news organizations slowly began sharing content directly with the company under revenue-sharing agreements.",25,comp_sent
90,"Over time, management gained confidence that it was an acceptable risk.",11,comp_sent
91,"Most of Axact's revenues from its fake diploma sales came from the United Arab Emirates, where hundreds of residents used Axact diplomas to obtain high-paying jobs.",26,comp_sent
92,"After a sustained media international campaign, Maseko was eventually freed.",10,comp_sent
96,"Night and the City is a live album by the bassist Charlie Haden and the pianist Kenny Barron, recorded at the Iridium Jazz Club in 1996 and released on the Verve label.",32,comp_sent
102,"Galileo began his telescopic observations in the later part of 1609, and by March 1610 was able to publish a small book, The Starry Messenger into collections of stars too faint to see individually without a telescope.",37,comp_sent
106,"Despite intensive lobbying , the UKFC failed to persuade the government that it should have that role and, instead, the BFI took over most of the UKFC's functions and funding from 1 April 2011, with the UKFC being subsequently abolished.",40,comp_sent
109,"Representative West represents Brasstown, NC, which holds an annual Possum Drop West was the sponsor of a law in the North Carolina House that exempts opossums from state wildlife laws from Dec.",32,comp_sent
