id|title|text
1|Woods–Gerry House|It features restrained Italianate styling, most evident in its porch and porte-cochere, and in its roofline.
2|W.A. Timber Company|It went on to develop a mill and jetty at Lockeville.
3|<i>Xylobiops texanus</i>|Xylobiops texanus is a species of horned powder-post beetle in the family Bostrichidae.
4|Javier Ontiveros|On 20 August 2019, Ontiveros signed a five-year contract with Villarreal CF.
5|New England Studios|It is 40 minutes outside of Boston, Massachusetts and provides 24-hour gated security and parking for 271 cars and trucks.
6|Østerdalen|Further up in the valley has higher mountains and less forests and more farming areas.
7|<i>Iredalea macleayi</i>|Iredalea macleayi is a species of sea snail, a marine gastropod mollusk in the family Drilliidae.
8|Kūdra Station|Kūdra Station is a railway station on the Torņakalns – Tukums II Railway in Latvia in the Kūdra neighbourhood of Jūrmala, Latvia.
9|<i>Alfa: Antiterror</i>|The story of the game follows a Russian special forces Alpha Group.
10|Canon de 37 mm Modèle 1925|The Canon de 37 mm Modèle 1925 was a widely used family of French anti-aircraft guns used by the French Navy during World War II.
